id_transaccion,id_usuario,fecha,hora,dias_antiguedad_cuenta,email_verificado,categoria,importe,es_online,pais_emision,pais_pago,tipo_tarjeta,mismo_envio_facturacion,tipo_dispositivo,uso_vpn_proxy,paso_3d_secure,minutos_desde_ultima_tx,es_fraude
71272,7877,2025-01-01 00:05:00,0,54,1,Restaurante,2.91,0,US,US,Débito,1,Físico (TPV),0,0,999999.0,0
19790,9825,2025-01-01 00:05:00,0,679,1,Restaurante,135.76,0,ES,CN,Débito,1,Físico (TPV),0,0,999999.0,0
68204,9542,2025-01-01 00:13:00,0,331,0,Restaurante,235.92,0,ES,ES,Débito,1,Físico (TPV),0,0,999999.0,0
17950,367,2025-01-01 00:15:00,0,572,1,Suscripciones,182.75,0,RU,ES,Débito,1,Físico (TPV),0,0,999999.0,0
27640,3962,2025-01-01 00:18:00,0,1449,1,Electrónica,13.37,1,RU,RU,Crédito,1,Desktop,0,0,999999.0,0
78947,4722,2025-01-01 00:19:00,0,691,0,Suscripciones,41.78,1,US,US,Débito,1,Desktop,0,0,999999.0,0
94300,1218,2025-01-01 00:27:00,0,1488,1,Restaurante,22.92,1,ES,ES,Débito,0,Móvil,0,0,999999.0,0
92044,7593,2025-01-01 00:32:00,0,887,1,Suscripciones,5.91,1,ES,ES,Débito,1,Desktop,0,0,999999.0,0
15821,5776,2025-01-01 00:36:00,0,1311,1,Supermercado,20.25,0,ES,ES,Crédito,1,Físico (TPV),0,0,999999.0,0
13884,7069,2025-01-01 00:37:00,0,1468,1,Restaurante,120.0,1,ES,ES,Débito,0,Desktop,0,1,999999.0,0
83639,6827,2025-01-01 00:37:00,0,710,1,Supermercado,216.6,1,ES,ES,Débito,1,Desktop,0,1,999999.0,0
50378,7228,2025-01-01 00:43:00,0,545,1,Supermercado,13.41,0,ES,ES,Prepago,1,Físico (TPV),0,0,999999.0,0
18786,6991,2025-01-01 00:45:00,0,460,1,Restaurante,33.46,1,ES,US,Débito,1,Desktop,0,0,999999.0,0
65934,1438,2025-01-01 00:47:00,0,1071,1,Restaurante,15.61,1,ES,ES,Crédito,1,Móvil,0,1,999999.0,0
24403,5325,2025-01-01 00:50:00,0,833,1,Suscripciones,14.81,1,FR,FR,Débito,0,Desktop,0,0,999999.0,0
27456,4916,2025-01-01 00:51:00,0,323,1,Restaurante,12.53,1,ES,ES,Débito,1,Móvil,0,0,999999.0,0
17206,4820,2025-01-01 00:56:00,0,936,1,Salud,13.85,1,GB,ES,Débito,1,Desktop,0,0,999999.0,0
34021,9494,2025-01-01 00:56:00,0,962,1,Restaurante,32.67,0,ES,ES,Débito,1,Físico (TPV),0,0,999999.0,0
46739,6491,2025-01-01 00:59:00,0,650,1,Supermercado,25.4,1,FR,FR,Débito,1,Móvil,0,0,999999.0,0
19442,896,2025-01-01 01:04:00,1,776,1,Restaurante,19.78,0,US,US,Crédito,1,Físico (TPV),0,0,999999.0,0
28220,3248,2025-01-01 01:08:00,1,348,1,Supermercado,43.75,0,ES,ES,Crédito,1,Físico (TPV),0,0,999999.0,0
64874,3157,2025-01-01 01:11:00,1,1453,1,Supermercado,13.11,1,US,US,Débito,1,Móvil,0,0,999999.0,0
83328,7247,2025-01-01 01:12:00,1,309,0,Viajes,3.85,1,BR,BR,Débito,1,Desktop,0,0,999999.0,0
71705,3487,2025-01-01 01:13:00,1,301,1,Restaurante,49.54,0,ES,ES,Prepago,1,Físico (TPV),0,0,999999.0,0
11023,1211,2025-01-01 01:14:00,1,1143,1,Supermercado,13.43,0,ES,ES,Débito,1,Físico (TPV),0,0,999999.0,0
69524,7903,2025-01-01 01:18:00,1,1064,1,Salud,35.7,0,ES,ES,Débito,1,Físico (TPV),0,0,999999.0,0
65267,8371,2025-01-01 01:22:00,1,1225,1,Supermercado,23.02,0,ES,ES,Crédito,1,Físico (TPV),0,0,999999.0,0
32897,915,2025-01-01 01:33:00,1,873,1,Salud,19.56,0,RU,RU,Crédito,1,Físico (TPV),0,0,999999.0,0
64760,2552,2025-01-01 01:56:00,1,379,1,Viajes,123.3,0,ES,ES,Crédito,1,Físico (TPV),0,0,999999.0,0
1534,5378,2025-01-01 02:06:00,2,1278,1,Restaurante,3.86,1,ES,US,Crédito,1,Móvil,1,0,999999.0,1
43245,4565,2025-01-01 02:12:00,2,575,1,Viajes,7.47,0,PT,PT,Débito,1,Físico (TPV),0,0,999999.0,0
65935,5755,2025-01-01 02:13:00,2,1045,1,Supermercado,20.59,1,ES,ES,Débito,1,Móvil,1,0,999999.0,1
4659,9807,2025-01-01 02:18:00,2,194,1,Suscripciones,18.9,0,FR,FR,Crédito,1,Físico (TPV),0,0,999999.0,0
32648,2938,2025-01-01 02:26:00,2,1213,1,Electrónica,219.7,0,US,US,Débito,1,Físico (TPV),0,0,999999.0,0
13677,9987,2025-01-01 02:28:00,2,998,1,Supermercado,100.6,1,GB,GB,Crédito,1,Móvil,1,1,999999.0,0
74511,2379,2025-01-01 02:32:00,2,966,1,Restaurante,8.28,0,DE,DE,Débito,1,Físico (TPV),0,0,999999.0,0
69054,4919,2025-01-01 02:33:00,2,838,1,Supermercado,43.36,1,PT,PT,Débito,0,Desktop,0,0,999999.0,0
53535,6091,2025-01-01 02:37:00,2,84,1,Supermercado,29.97,1,ES,ES,Crédito,1,Desktop,0,0,999999.0,0
50918,8382,2025-01-01 02:39:00,2,1381,1,Electrónica,3.87,0,ES,ES,Crédito,1,Físico (TPV),0,0,999999.0,0
4920,3382,2025-01-01 02:39:00,2,1115,1,Electrónica,23.6,1,ES,ES,Débito,0,Móvil,0,0,999999.0,1
64994,5966,2025-01-01 02:43:00,2,845,1,Salud,78.4,1,GB,GB,Crédito,1,Móvil,0,1,999999.0,0
62039,2122,2025-01-01 02:49:00,2,990,1,Supermercado,177.69,1,ES,ES,Crédito,1,Móvil,0,0,999999.0,0
89470,9922,2025-01-01 02:53:00,2,590,1,Supermercado,30.65,0,US,US,Crédito,1,Físico (TPV),0,0,999999.0,0
73863,448,2025-01-01 02:53:00,2,197,0,Supermercado,144.38,1,CN,CN,Débito,1,Desktop,0,1,999999.0,0
54644,5474,2025-01-01 03:01:00,3,914,1,Restaurante,22.01,0,ES,ES,Débito,1,Físico (TPV),0,0,999999.0,0
30121,7372,2025-01-01 03:04:00,3,1257,0,Electrónica,57.84,1,ES,ES,Débito,1,Móvil,0,1,999999.0,0
50451,8083,2025-01-01 03:08:00,3,115,1,Restaurante,7.79,0,ES,ES,Débito,1,Físico (TPV),0,0,999999.0,0
27892,124,2025-01-01 03:09:00,3,412,1,Supermercado,6.32,0,PT,PT,Débito,1,Físico (TPV),0,0,999999.0,0
6213,7640,2025-01-01 03:12:00,3,458,1,Salud,2.46,1,GB,GB,Crédito,1,Desktop,0,0,999999.0,0
42446,6443,2025-01-01 03:23:00,3,334,1,Supermercado,5.65,1,ES,ES,Débito,1,Móvil,0,0,999999.0,0
24494,3074,2025-01-01 03:25:00,3,1013,1,Suscripciones,16.07,0,DE,DE,Débito,1,Físico (TPV),0,0,999999.0,0
52394,1046,2025-01-01 03:27:00,3,158,1,Suscripciones,91.41,0,ES,ES,Débito,1,Físico (TPV),0,0,999999.0,0
71704,3596,2025-01-01 03:27:00,3,1372,1,Suscripciones,5.35,1,US,US,Débito,1,Desktop,0,0,999999.0,0
58556,567,2025-01-01 03:29:00,3,38,1,Supermercado,35.73,1,CN,CN,Débito,1,Móvil,0,0,999999.0,0
14631,8599,2025-01-01 03:29:00,3,331,1,Restaurante,204.73,0,ES,ES,Crédito,1,Físico (TPV),0,0,999999.0,0
9014,3046,2025-01-01 03:35:00,3,626,1,Electrónica,12.32,1,IT,IT,Crédito,1,Móvil,0,0,999999.0,0
52849,3004,2025-01-01 03:49:00,3,412,1,Electrónica,1.51,1,DE,DE,Débito,1,Móvil,0,0,999999.0,0
77684,3410,2025-01-01 03:51:00,3,514,1,Supermercado,2.33,1,ES,ES,Débito,1,Móvil,0,0,999999.0,0
