id_transaccion,id_usuario,fecha,hora,dias_antiguedad_cuenta,email_verificado,pais_emision,pais_pago,es_online,monto,uso_vpn_proxy,es_fraude
19790,9302,2025-01-01 00:05:00,0,351,0,España,Italia,1,15.02,0,0
17950,3327,2025-01-01 00:15:00,0,18,1,España,Italia,1,36.76,1,0
27640,5952,2025-01-01 00:18:00,0,18,1,España,Nigeria,1,18.9,0,0
15821,745,2025-01-01 00:36:00,0,650,0,España,Brasil,1,16.36,1,0
13884,6446,2025-01-01 00:37:00,0,1168,1,España,Ucrania,1,15.83,0,0
18786,8176,2025-01-01 00:45:00,0,143,1,España,Rusia,0,72.61,0,0
24403,586,2025-01-01 00:50:00,0,1345,1,España,Ucrania,1,291.04,0,0
27456,6556,2025-01-01 00:51:00,0,28,0,España,Brasil,0,11.46,0,0
17206,628,2025-01-01 00:56:00,0,652,1,España,Nigeria,1,19.23,0,0
34021,271,2025-01-01 00:56:00,0,885,1,España,India,1,42.08,0,0
46739,4403,2025-01-01 00:59:00,0,939,1,España,India,1,22.09,1,1
19442,5235,2025-01-01 01:04:00,1,965,0,España,Ucrania,1,24.37,0,0
28220,2476,2025-01-01 01:08:00,1,1443,1,España,México,1,34.99,0,0
11023,5049,2025-01-01 01:14:00,1,908,1,España,Rusia,1,37.58,1,0
32897,6872,2025-01-01 01:33:00,1,78,1,España,Japón,0,26.09,0,0
1534,9845,2025-01-01 02:06:00,2,1293,1,España,Portugal,0,40.42,0,0
43245,2093,2025-01-01 02:12:00,2,334,1,España,Portugal,0,68.51,0,0
4659,1845,2025-01-01 02:18:00,2,439,1,España,Ucrania,1,49.97,0,0
32648,4324,2025-01-01 02:26:00,2,121,1,España,Reino Unido,1,40.47,0,0
13677,3455,2025-01-01 02:28:00,2,1197,1,España,Rusia,0,36.03,0,0
4920,6023,2025-01-01 02:39:00,2,1240,1,España,Nigeria,1,152.43,0,0
30121,168,2025-01-01 03:04:00,3,914,1,España,Italia,1,39.79,0,0
27892,7921,2025-01-01 03:09:00,3,25,1,España,Francia,1,37.01,0,0
6213,272,2025-01-01 03:12:00,3,161,1,España,Vietnam,1,49.81,1,1
42446,5207,2025-01-01 03:23:00,3,629,1,España,Vietnam,1,28.9,0,0
24494,1510,2025-01-01 03:25:00,3,1495,1,España,Vietnam,1,24.93,0,0
14631,3373,2025-01-01 03:29:00,3,291,1,España,Francia,1,45.96,0,0
9014,8181,2025-01-01 03:35:00,3,962,1,España,India,0,142.16,0,0
19107,462,2025-01-01 04:04:00,4,476,1,España,Nigeria,1,117.58,0,0
37250,9065,2025-01-01 04:07:00,4,1205,1,España,Italia,1,28.45,0,0
39255,3765,2025-01-01 04:50:00,4,1053,1,España,Vietnam,1,9.74,0,0
11736,8192,2025-01-01 04:54:00,4,1156,1,España,Reino Unido,0,57.58,0,0
37140,680,2025-01-01 05:18:00,5,274,0,España,India,0,14.69,0,0
7731,2489,2025-01-01 05:20:00,5,108,0,España,Rusia,1,33.9,0,0
6917,8659,2025-01-01 05:36:00,5,35,1,España,Vietnam,0,12.64,0,0
4653,4762,2025-01-01 05:40:00,5,1197,1,España,Alemania,1,77.39,0,0
40468,220,2025-01-01 05:48:00,5,194,1,España,México,0,10.47,0,0
48407,1742,2025-01-01 05:57:00,5,1267,1,España,México,1,26.14,0,0
32407,7816,2025-01-01 05:57:00,5,1267,1,España,Francia,1,32.27,0,0
9574,2421,2025-01-01 06:03:00,6,786,1,España,Brasil,1,30.05,0,0
12821,4354,2025-01-01 06:10:00,6,1359,1,España,Nigeria,1,32.5,0,0
8133,3284,2025-01-01 06:30:00,6,220,1,España,Rusia,1,29.22,0,0
1016,5339,2025-01-01 06:44:00,6,766,1,España,Portugal,1,24.28,0,0
