id_transaccion,id_usuario,fecha,hora,gasto_promedio_usuario,hora_habitual_usuario,desviacion_hora,categoria,monto,ratio_monto_promedio,es_online,tipo_ip,intentos_ultimos_10_min,es_fraude
79171,8502,2025-01-01 00:01:00,0,126.75,15,9,Supermercado,60.4,0.48,0,N/A,0.0,0
57265,167,2025-01-01 00:08:00,0,5.74,2,2,Supermercado,47.98,8.36,1,Residencial,0.0,0
70881,7715,2025-01-01 00:09:00,0,23.41,13,11,Viajes,250.27,10.69,1,Residencial,0.0,0
65686,9284,2025-01-01 00:21:00,0,67.41,1,1,Electrónica,20.91,0.31,0,N/A,0.0,0
19466,638,2025-01-01 00:23:00,0,32.89,21,3,Supermercado,27.84,0.85,1,Residencial,0.0,0
58291,5994,2025-01-01 00:25:00,0,84.66,15,9,Restaurante,7.84,0.09,1,Residencial,0.0,0
45151,6421,2025-01-01 00:42:00,0,72.85,0,0,Supermercado,12.05,0.17,0,N/A,0.0,0
81081,4537,2025-01-01 00:55:00,0,15.19,6,6,Restaurante,34.88,2.3,1,Residencial,0.0,0
8613,1233,2025-01-01 00:55:00,0,71.33,10,10,Electrónica,35.93,0.5,0,N/A,0.0,0
74022,9924,2025-01-01 01:01:00,1,42.17,23,2,Suscripciones,64.9,1.54,0,N/A,0.0,0
9712,1495,2025-01-01 01:02:00,1,41.41,17,8,Electrónica,9.21,0.22,0,N/A,0.0,0
10193,4760,2025-01-01 01:03:00,1,13.78,13,12,Supermercado,4.65,0.34,1,Residencial,0.0,0
51851,4538,2025-01-01 01:04:00,1,46.85,9,8,Supermercado,54.12,1.16,0,N/A,0.0,0
28968,665,2025-01-01 01:05:00,1,34.5,3,2,Salud,18.06,0.52,0,N/A,0.0,0
55027,2197,2025-01-01 01:07:00,1,45.64,8,7,Restaurante,3.86,0.08,1,Residencial,0.0,0
19574,219,2025-01-01 01:09:00,1,47.75,23,2,Viajes,33.56,0.7,1,Residencial,0.0,0
91971,9001,2025-01-01 01:17:00,1,68.41,12,11,Suscripciones,2.41,0.04,0,N/A,0.0,0
33393,9049,2025-01-01 01:22:00,1,41.33,10,9,Supermercado,17.06,0.41,1,Residencial,0.0,0
74653,3726,2025-01-01 01:24:00,1,12.49,23,2,Salud,7.0,0.56,1,Residencial,0.0,0
27837,1438,2025-01-01 01:26:00,1,73.74,18,7,Salud,22.54,0.31,1,Residencial,0.0,0
1104,7644,2025-01-01 01:30:00,1,21.74,20,5,Supermercado,5.38,0.25,0,N/A,0.0,0
76424,677,2025-01-01 01:33:00,1,14.07,5,4,Viajes,18.6,1.32,1,Residencial,0.0,0
14251,7070,2025-01-01 01:35:00,1,52.5,0,1,Electrónica,18.52,0.35,1,Residencial,0.0,0
89033,9433,2025-01-01 01:38:00,1,98.44,21,4,Suscripciones,8.19,0.08,0,N/A,0.0,0
72144,5499,2025-01-01 01:44:00,1,19.18,4,3,Supermercado,34.32,1.79,1,Residencial,0.0,0
37363,6304,2025-01-01 01:48:00,1,59.29,19,6,Suscripciones,2.19,0.04,1,Residencial,0.0,0
48388,9257,2025-01-01 02:14:00,2,46.49,4,2,Supermercado,13.62,0.29,1,Residencial,0.0,0
70067,6556,2025-01-01 02:16:00,2,12.18,9,7,Suscripciones,63.8,5.24,1,Residencial,0.0,0
4596,8552,2025-01-01 02:18:00,2,86.08,8,6,Viajes,39.97,0.46,0,N/A,0.0,0
35275,2273,2025-01-01 02:39:00,2,66.16,20,6,Salud,60.16,0.91,1,Residencial,0.0,0
6227,2136,2025-01-01 02:42:00,2,105.17,20,6,Viajes,56.29,0.54,1,Residencial,0.0,0
76599,2128,2025-01-01 02:43:00,2,68.61,16,10,Suscripciones,78.27,1.14,0,N/A,0.0,0
22578,50,2025-01-01 02:49:00,2,15.39,17,9,Suscripciones,36.54,2.37,1,Residencial,0.0,0
76863,7732,2025-01-01 02:58:00,2,25.74,11,9,Supermercado,11.74,0.46,1,Residencial,0.0,0
31580,7197,2025-01-01 03:02:00,3,71.94,0,3,Salud,21.71,0.3,1,Residencial,0.0,0
51567,1025,2025-01-01 03:09:00,3,36.66,16,11,Salud,3.34,0.09,1,Residencial,0.0,0
10822,4622,2025-01-01 03:10:00,3,31.72,0,3,Salud,10.85,0.34,1,Residencial,0.0,0
16605,9298,2025-01-01 03:19:00,3,283.22,3,0,Viajes,4.89,0.02,1,Residencial,0.0,0
10823,4622,2025-01-01 03:21:00,3,31.72,0,3,Suscripciones,15.09,0.48,0,N/A,0.0,0
23762,8895,2025-01-01 03:30:00,3,17.6,22,5,Salud,18.45,1.05,0,N/A,0.0,0
16606,9298,2025-01-01 03:35:00,3,283.22,3,0,Restaurante,167.78,0.59,1,Residencial,0.0,0
19540,9469,2025-01-01 03:38:00,3,62.95,15,12,Supermercado,9.14,0.15,0,N/A,0.0,0
45543,3265,2025-01-01 03:51:00,3,11.42,19,8,Viajes,20.77,1.82,0,N/A,0.0,0
80769,9663,2025-01-01 03:56:00,3,25.38,22,5,Viajes,18.97,0.75,0,N/A,0.0,0
80841,4540,2025-01-01 04:00:00,4,45.15,1,3,Electrónica,6.83,0.15,1,Residencial,0.0,0
69490,2636,2025-01-01 04:01:00,4,11.21,22,6,Restaurante,18.35,1.64,1,Residencial,0.0,0
58202,2696,2025-01-01 04:04:00,4,7.96,13,9,Electrónica,85.16,10.7,1,Residencial,0.0,0
60511,8866,2025-01-01 04:06:00,4,15.65,8,4,Salud,22.18,1.42,1,Residencial,0.0,0
46298,263,2025-01-01 04:12:00,4,21.67,15,11,Restaurante,35.75,1.65,1,Residencial,0.0,0
12848,1905,2025-01-01 04:15:00,4,24.12,6,2,Restaurante,5.45,0.23,1,Residencial,0.0,0
74058,3589,2025-01-01 04:17:00,4,18.19,15,11,Supermercado,34.91,1.92,1,Residencial,0.0,0
50421,9308,2025-01-01 04:23:00,4,47.45,19,9,Electrónica,23.95,0.5,0,N/A,0.0,0
50422,9308,2025-01-01 04:28:00,4,47.45,19,9,Viajes,2.56,0.05,1,Residencial,1.0,1
84584,6696,2025-01-01 04:35:00,4,41.62,12,8,Supermercado,13.64,0.33,0,N/A,0.0,0
76998,9284,2025-01-01 04:36:00,4,67.41,1,3,Restaurante,53.15,0.79,1,Residencial,0.0,0
76999,9284,2025-01-01 04:40:00,4,67.41,1,3,Electrónica,6.25,0.09,1,Residencial,1.0,0
84585,6696,2025-01-01 04:43:00,4,41.62,12,8,Salud,26.93,0.65,0,N/A,1.0,0
15087,801,2025-01-01 04:44:00,4,36.72,18,10,Electrónica,234.7,6.39,1,Residencial,0.0,0
89624,5917,2025-01-01 04:51:00,4,9.37,15,11,Suscripciones,119.61,12.77,0,N/A,0.0,1
5603,4328,2025-01-01 04:54:00,4,34.97,7,3,Electrónica,167.96,4.8,0,N/A,0.0,0
3463,3675,2025-01-01 04:54:00,4,27.51,17,11,Electrónica,47.78,1.74,0,N/A,0.0,0
15088,801,2025-01-01 04:57:00,4,36.72,18,10,Electrónica,4.33,0.12,0,N/A,0.0,0
5604,4328,2025-01-01 04:59:00,4,34.97,7,3,Electrónica,20.47,0.59,1,Residencial,1.0,0
3464,3675,2025-01-01 05:12:00,5,27.51,17,12,Salud,14.51,0.53,1,Residencial,0.0,0
51003,4619,2025-01-01 05:24:00,5,47.76,3,2,Viajes,68.82,1.44,1,Residencial,0.0,0
33743,5299,2025-01-01 05:30:00,5,27.83,5,0,Supermercado,3.27,0.12,1,Residencial,0.0,0
98443,7596,2025-01-01 05:31:00,5,14.8,17,12,Salud,5.95,0.4,1,Residencial,0.0,0
48208,7051,2025-01-01 05:34:00,5,55.35,11,6,Electrónica,31.14,0.56,1,Residencial,0.0,0
28460,2026,2025-01-01 05:35:00,5,12.99,5,0,Supermercado,21.0,1.62,0,N/A,0.0,0
9124,5081,2025-01-01 05:42:00,5,128.93,12,7,Restaurante,15.3,0.12,0,N/A,0.0,0
58995,1953,2025-01-01 05:42:00,5,8.71,3,2,Electrónica,182.67,20.97,1,Residencial,0.0,0
79010,1141,2025-01-01 05:47:00,5,59.33,19,10,Salud,71.52,1.21,0,N/A,0.0,0
93362,3099,2025-01-01 05:50:00,5,57.93,18,11,Supermercado,8.28,0.14,1,Residencial,0.0,0
91415,6647,2025-01-01 05:53:00,5,60.81,15,10,Suscripciones,2.87,0.05,0,N/A,0.0,0
91416,6647,2025-01-01 05:55:00,5,60.81,15,10,Restaurante,9.5,0.16,1,Residencial,1.0,1
24432,6031,2025-01-01 06:00:00,6,19.77,5,1,Restaurante,31.51,1.59,1,Residencial,0.0,0
79011,1141,2025-01-01 06:06:00,6,59.33,19,11,Supermercado,43.32,0.73,1,Residencial,0.0,0
8004,2578,2025-01-01 06:12:00,6,40.78,17,11,Electrónica,8.61,0.21,1,Residencial,0.0,0
18615,2530,2025-01-01 06:23:00,6,53.94,0,6,Restaurante,7.6,0.14,1,Residencial,0.0,0
69321,1942,2025-01-01 06:30:00,6,75.89,3,3,Suscripciones,3.21,0.04,0,N/A,0.0,0
77419,9100,2025-01-01 06:32:00,6,86.26,7,1,Supermercado,10.79,0.13,1,Residencial,0.0,0
93472,7250,2025-01-01 06:32:00,6,70.14,21,9,Viajes,136.38,1.94,1,Residencial,0.0,0
83341,6797,2025-01-01 06:39:00,6,44.71,2,4,Restaurante,35.78,0.8,1,Residencial,0.0,0
80060,3473,2025-01-01 06:49:00,6,18.83,5,1,Viajes,6.87,0.36,1,Residencial,0.0,0
82451,8103,2025-01-01 06:49:00,6,35.67,10,4,Electrónica,48.33,1.35,1,Residencial,0.0,0
2233,9155,2025-01-01 07:03:00,7,5.76,23,8,Electrónica,37.67,6.54,1,Residencial,0.0,1
97861,3697,2025-01-01 07:04:00,7,25.48,15,8,Restaurante,32.62,1.28,1,Residencial,0.0,0
21241,3677,2025-01-01 07:06:00,7,15.9,21,10,Salud,75.69,4.76,1,Residencial,0.0,0
2234,9155,2025-01-01 07:07:00,7,5.76,23,8,Electrónica,12.65,2.2,1,Residencial,1.0,0
66326,9468,2025-01-01 07:13:00,7,27.73,12,5,Suscripciones,29.92,1.08,0,N/A,0.0,0
30671,8153,2025-01-01 07:17:00,7,14.25,3,4,Suscripciones,183.0,12.84,1,Residencial,0.0,0
74515,7196,2025-01-01 07:24:00,7,99.98,18,11,Salud,28.95,0.29,0,N/A,0.0,0
39109,5213,2025-01-01 07:28:00,7,7.88,6,1,Salud,26.7,3.39,0,N/A,0.0,0
66327,9468,2025-01-01 07:30:00,7,27.73,12,5,Electrónica,8.88,0.32,0,N/A,0.0,0
20170,3186,2025-01-01 07:41:00,7,8.19,23,8,Suscripciones,19.82,2.42,1,Residencial,0.0,0
73714,1456,2025-01-01 07:44:00,7,42.08,12,5,Suscripciones,4.39,0.1,1,Residencial,0.0,0
78203,1622,2025-01-01 07:47:00,7,16.25,12,5,Suscripciones,25.16,1.55,1,Tor,0.0,0
28893,6575,2025-01-01 07:47:00,7,48.75,4,3,Suscripciones,18.83,0.39,0,N/A,0.0,0
16374,1992,2025-01-01 07:49:00,7,106.43,19,12,Viajes,6.56,0.06,0,N/A,0.0,0
69143,8249,2025-01-01 07:57:00,7,43.38,3,4,Viajes,4.89,0.11,1,Residencial,0.0,0
56248,1788,2025-01-01 08:04:00,8,22.27,22,10,Supermercado,6.18,0.28,1,Residencial,0.0,0
58746,4021,2025-01-01 08:05:00,8,56.81,3,5,Viajes,63.65,1.12,0,N/A,0.0,0
83698,4910,2025-01-01 08:09:00,8,28.87,3,5,Electrónica,409.72,14.19,0,N/A,0.0,0
71958,3006,2025-01-01 08:09:00,8,44.19,21,11,Electrónica,4.33,0.1,0,N/A,0.0,0
52546,9810,2025-01-01 08:12:00,8,23.7,16,8,Supermercado,9.24,0.39,1,Residencial,0.0,0
42320,3541,2025-01-01 08:17:00,8,64.67,17,9,Supermercado,209.47,3.24,1,Residencial,0.0,0
77875,1229,2025-01-01 08:20:00,8,12.79,8,0,Viajes,9.45,0.74,0,N/A,0.0,0
52218,8767,2025-01-01 08:29:00,8,133.83,13,5,Suscripciones,24.59,0.18,1,Residencial,0.0,0
74385,9267,2025-01-01 08:36:00,8,68.89,12,4,Electrónica,3.48,0.05,0,N/A,0.0,0
41292,2156,2025-01-01 08:40:00,8,36.93,20,12,Salud,10.07,0.27,1,Residencial,0.0,0
81849,5493,2025-01-01 08:45:00,8,219.19,9,1,Salud,8.34,0.04,1,Residencial,0.0,0
74386,9267,2025-01-01 08:52:00,8,68.89,12,4,Supermercado,30.47,0.44,1,Residencial,0.0,0
34881,7232,2025-01-01 08:55:00,8,24.82,2,6,Electrónica,71.49,2.88,1,Residencial,0.0,0
34882,7232,2025-01-01 09:02:00,9,24.82,2,7,Salud,3.82,0.15,1,Residencial,1.0,1
21113,2039,2025-01-01 09:16:00,9,50.4,19,10,Supermercado,61.19,1.21,1,Residencial,0.0,0
86136,3221,2025-01-01 09:21:00,9,59.22,1,8,Supermercado,7.73,0.13,1,Residencial,0.0,0
89844,3646,2025-01-01 09:24:00,9,11.14,23,10,Electrónica,186.84,16.77,0,N/A,0.0,0
62873,194,2025-01-01 09:30:00,9,42.28,5,4,Electrónica,2.13,0.05,0,N/A,0.0,0
67727,8194,2025-01-01 09:43:00,9,37.45,5,4,Viajes,8.98,0.24,1,Residencial,0.0,0
86004,4015,2025-01-01 09:45:00,9,8.27,3,6,Viajes,89.41,10.81,1,Residencial,0.0,1
90847,553,2025-01-01 10:00:00,10,41.85,23,11,Viajes,26.14,0.62,1,Residencial,0.0,0
50515,5740,2025-01-01 10:04:00,10,26.0,19,9,Electrónica,59.36,2.28,1,Residencial,0.0,0
90094,9137,2025-01-01 10:06:00,10,17.75,16,6,Viajes,18.37,1.03,1,Residencial,0.0,0
55880,366,2025-01-01 10:14:00,10,35.96,22,12,Suscripciones,7.91,0.22,1,Residencial,0.0,0
90095,9137,2025-01-01 10:17:00,10,17.75,16,6,Supermercado,82.65,4.66,0,N/A,0.0,0
32509,4415,2025-01-01 10:23:00,10,64.46,6,4,Electrónica,47.18,0.73,0,N/A,0.0,0
61746,6125,2025-01-01 10:23:00,10,54.94,7,3,Supermercado,7.19,0.13,1,Residencial,0.0,0
26843,9075,2025-01-01 10:24:00,10,317.74,11,1,Electrónica,74.7,0.24,1,Datacenter,0.0,0
20709,9263,2025-01-01 10:28:00,10,60.77,0,10,Electrónica,39.8,0.65,0,N/A,0.0,0
62127,3974,2025-01-01 10:38:00,10,27.51,5,5,Supermercado,49.71,1.81,0,N/A,0.0,0
27728,6587,2025-01-01 10:39:00,10,219.04,11,1,Viajes,19.48,0.09,0,N/A,0.0,0
32615,5422,2025-01-01 10:41:00,10,18.78,23,11,Electrónica,4.03,0.21,0,N/A,0.0,0
69231,3152,2025-01-01 10:42:00,10,27.04,10,0,Salud,118.07,4.37,1,Residencial,0.0,0
77207,8803,2025-01-01 10:45:00,10,20.91,13,3,Viajes,4.32,0.21,0,N/A,0.0,0
9357,9275,2025-01-01 10:45:00,10,8.32,3,7,Electrónica,9.15,1.1,1,Residencial,0.0,0
20873,7906,2025-01-01 10:46:00,10,38.03,17,7,Suscripciones,19.57,0.51,1,Residencial,0.0,0
77889,225,2025-01-01 10:47:00,10,25.1,9,1,Viajes,9.79,0.39,0,N/A,0.0,0
29979,2595,2025-01-01 10:49:00,10,40.59,8,2,Restaurante,21.12,0.52,0,N/A,0.0,0
80103,6259,2025-01-01 10:51:00,10,27.57,16,6,Salud,37.72,1.37,0,N/A,0.0,0
41496,1249,2025-01-01 10:54:00,10,34.52,1,9,Supermercado,42.08,1.22,0,N/A,0.0,0
9358,9275,2025-01-01 10:54:00,10,8.32,3,7,Restaurante,31.75,3.82,0,N/A,1.0,1
42675,8013,2025-01-01 10:55:00,10,95.56,15,5,Salud,56.07,0.59,0,N/A,0.0,0
41025,2125,2025-01-01 11:04:00,11,137.98,17,6,Salud,28.31,0.21,1,Residencial,0.0,0
29980,2595,2025-01-01 11:05:00,11,40.59,8,3,Electrónica,29.85,0.74,1,Residencial,0.0,0
60302,8499,2025-01-01 11:05:00,11,96.32,19,8,Suscripciones,20.95,0.22,1,Residencial,0.0,0
44486,7358,2025-01-01 11:05:00,11,50.15,19,8,Salud,39.92,0.8,0,N/A,0.0,0
82710,779,2025-01-01 11:15:00,11,23.16,8,3,Restaurante,71.26,3.08,0,N/A,0.0,0
60598,4432,2025-01-01 11:16:00,11,11.0,21,10,Supermercado,45.25,4.11,1,Residencial,0.0,0
57573,4248,2025-01-01 11:24:00,11,42.01,17,6,Supermercado,8.72,0.21,0,N/A,0.0,0
46701,3040,2025-01-01 11:32:00,11,248.12,11,0,Viajes,136.75,0.55,1,Residencial,0.0,0
57574,4248,2025-01-01 11:34:00,11,42.01,17,6,Suscripciones,24.56,0.58,1,Residencial,0.0,0
30683,8829,2025-01-01 11:35:00,11,59.46,12,1,Restaurante,6.89,0.12,1,Residencial,0.0,0
89781,2507,2025-01-01 11:38:00,11,194.55,18,7,Supermercado,26.2,0.13,0,N/A,0.0,0
35130,1883,2025-01-01 11:46:00,11,26.2,22,11,Viajes,11.09,0.42,1,Residencial,0.0,0
70273,1672,2025-01-01 11:52:00,11,33.82,10,1,Restaurante,15.33,0.45,1,Residencial,0.0,0
66559,4786,2025-01-01 11:57:00,11,34.14,12,1,Restaurante,9.17,0.27,0,N/A,0.0,0
76463,5821,2025-01-01 12:04:00,12,76.08,12,0,Viajes,5.71,0.08,1,Residencial,0.0,0
97916,9737,2025-01-01 12:06:00,12,8.11,14,2,Electrónica,8.7,1.07,0,N/A,0.0,0
43448,7606,2025-01-01 12:07:00,12,96.83,5,7,Salud,7.08,0.07,0,N/A,0.0,0
43449,7606,2025-01-01 12:18:00,12,96.83,5,7,Suscripciones,7.5,0.08,0,N/A,0.0,0
62284,2197,2025-01-01 12:20:00,12,45.64,8,4,Salud,21.88,0.48,1,Residencial,0.0,0
36562,2291,2025-01-01 12:21:00,12,42.08,2,10,Suscripciones,40.74,0.97,0,N/A,0.0,0
62285,2197,2025-01-01 12:39:00,12,45.64,8,4,Electrónica,30.52,0.67,1,Residencial,0.0,0
36563,2291,2025-01-01 12:39:00,12,42.08,2,10,Restaurante,14.42,0.34,1,Residencial,0.0,0
56976,2493,2025-01-01 12:40:00,12,35.66,19,7,Suscripciones,67.23,1.89,1,Residencial,0.0,0
72963,1552,2025-01-01 12:46:00,12,14.07,9,3,Salud,104.85,7.45,1,Residencial,0.0,0
76227,7493,2025-01-01 12:47:00,12,51.38,12,0,Restaurante,6.4,0.12,1,Residencial,0.0,0
33634,4217,2025-01-01 12:51:00,12,31.17,3,9,Salud,29.82,0.96,0,N/A,0.0,0
52294,9174,2025-01-01 13:06:00,13,28.52,0,11,Supermercado,3.12,0.11,0,N/A,0.0,0
92521,1387,2025-01-01 13:06:00,13,18.81,6,7,Viajes,7.37,0.39,0,N/A,0.0,0
121,4489,2025-01-01 13:15:00,13,25.75,0,11,Restaurante,35.73,1.39,0,N/A,0.0,0
62187,4275,2025-01-01 13:21:00,13,17.25,15,2,Salud,11.31,0.66,0,N/A,0.0,0
1017,1793,2025-01-01 13:27:00,13,26.66,15,2,Salud,26.56,1.0,0,N/A,0.0,0
8311,6459,2025-01-01 13:37:00,13,135.38,7,6,Viajes,9.58,0.07,1,Residencial,0.0,0
85853,6896,2025-01-01 13:37:00,13,83.7,6,7,Supermercado,9.07,0.11,1,Residencial,0.0,0
40874,2075,2025-01-01 13:42:00,13,7.15,16,3,Suscripciones,37.15,5.2,0,N/A,0.0,0
39178,9109,2025-01-01 13:53:00,13,33.71,23,10,Supermercado,15.53,0.46,0,N/A,0.0,0
65070,8396,2025-01-01 13:58:00,13,5.75,3,10,Electrónica,8.3,1.44,1,Residencial,0.0,0
29389,3732,2025-01-01 14:00:00,14,7.11,16,2,Electrónica,18.21,2.56,0,N/A,0.0,0
73834,7202,2025-01-01 14:01:00,14,42.97,6,8,Restaurante,11.41,0.27,0,N/A,0.0,0
85811,3400,2025-01-01 14:01:00,14,79.53,23,9,Salud,38.36,0.48,1,Datacenter,0.0,1
14706,6614,2025-01-01 14:08:00,14,8.92,2,12,Viajes,8.91,1.0,1,Residencial,0.0,0
51512,102,2025-01-01 14:17:00,14,11.82,16,2,Viajes,20.08,1.7,1,Residencial,0.0,0
14707,6614,2025-01-01 14:18:00,14,8.92,2,12,Supermercado,6.09,0.68,1,Datacenter,0.0,1
39512,82,2025-01-01 14:33:00,14,29.34,6,8,Viajes,16.54,0.56,1,Residencial,0.0,0
39513,82,2025-01-01 14:44:00,14,29.34,6,8,Electrónica,4.57,0.16,1,Residencial,0.0,0
63580,8956,2025-01-01 15:01:00,15,15.51,2,11,Suscripciones,29.0,1.87,1,Residencial,0.0,0
90706,4951,2025-01-01 15:02:00,15,96.44,21,6,Salud,5.39,0.06,1,Residencial,0.0,0
17008,6153,2025-01-01 15:09:00,15,18.07,6,9,Supermercado,16.1,0.89,0,N/A,0.0,0
