id_transaccion,id_usuario,fecha,intentos_fallidos,categoria,monto,pais_emision,pais_pago,uso_vpn_proxy,paso_3d_secure,dispositivo_nuevo,mismo_envio_facturacion,es_fraude
sdv-id-YJKltK,abfb9abf-eb34-4953-b32a-f4e8e9d1c994,1970-01-01,0,Tech,1141.37,ESP,GBR,0,0,0,0,0
sdv-id-odvAPY,d1ed43ba-65c6-4e05-aebf-af4c813592e7,1970-01-01,2,Retail,1765.19,ESP,DEU,1,0,1,1,0
sdv-id-fuYbZc,33304e33-deb0-4e7d-a99f-db02bcdd0b48,1970-01-01,0,Retail,8.18,ESP,RUS,1,1,1,1,0
sdv-id-ygFmYc,55e7cbb3-da10-464f-823b-efcb6195b4ec,1970-01-01,0,Travel,761.68,ESP,PRT,1,0,0,0,1
sdv-id-aunvLB,836392b7-d9a3-442a-83c2-8870adde98b6,1970-01-01,3,Retail,2080.67,ESP,JPN,1,0,0,0,0
sdv-id-DQiXfl,3990d711-9ace-4bb2-bcf8-0f7f380f52f3,1970-01-01,0,Gaming,1434.2,ESP,NGA,1,0,1,1,1
sdv-id-awZCWh,037825da-d399-456c-9c2b-498f054da360,1970-01-01,0,Tech,600.99,ESP,ITA,1,1,0,0,1
sdv-id-HkqHId,6fd8440a-5283-489c-831f-37eb2c981221,1970-01-01,0,Tech,941.18,ESP,JPN,1,0,0,0,1
sdv-id-oAiOqs,7afac8ce-dc4f-47fe-be61-8f4bebb511e6,1970-01-01,0,Gaming,526.23,ESP,JPN,0,0,0,0,1
sdv-id-HBsuPl,1f873b46-c0a0-473a-a3d7-e6a119b814fc,1970-01-01,0,Retail,1365.14,ESP,ARE,1,0,1,1,0
sdv-id-JzjJTm,043d72db-1bcb-404c-a1d8-b96a62ada157,1970-01-01,0,Gaming,1331.47,ESP,GBR,0,1,0,1,1
sdv-id-SjJdiR,00d4af59-7427-4ca3-a87d-06ca6f4cc69a,1970-01-01,2,Retail,1561.66,ESP,FRA,1,1,1,0,1
sdv-id-BBKhvs,a9d51bcf-f067-4d81-990d-e23b73901c46,1970-01-01,0,Travel,2257.78,ESP,CHN,0,1,1,0,0
sdv-id-PaiNmo,cb2c4e21-1dce-4e8c-b714-bab76ef59d48,1970-01-01,0,Retail,138.53,ESP,IND,1,0,1,0,1
sdv-id-vEYLAK,ff4daa0c-2d74-4f85-b038-389555a8e46d,1970-01-01,0,Gaming,1506.13,ESP,PRT,1,0,0,1,0
sdv-id-hNGViO,695ae210-973c-4616-b945-cfd4678ea95f,1970-01-01,0,Tech,237.86,ESP,DEU,0,1,1,1,0
sdv-id-NVwokV,e6b0aca0-26fd-4253-9247-15af7ee6990b,1970-01-01,4,Gaming,1130.6,ESP,IND,1,1,1,0,1
sdv-id-GjOKnm,e56fd112-8e51-4e43-84e3-abdcb62a0255,1970-01-01,0,Gaming,384.29,ESP,DEU,1,0,0,1,0
sdv-id-mflOvq,fdecc58d-73fe-41a3-bed0-24cbb6f37bd4,1970-01-01,0,Retail,1991.27,ESP,USA,1,0,1,1,0
sdv-id-vRCdgN,262edf5e-0f4f-4d2b-b039-d524089742f0,1970-01-01,3,Gaming,2266.4,ESP,RUS,0,1,1,1,1
sdv-id-rsDYUU,4f4cea72-e493-4415-aa4b-f5dc0a599c13,1970-01-01,0,Gaming,1320.27,ESP,VNM,0,0,1,0,1
sdv-id-nktert,7a8104de-b205-47bb-bb16-f75776f186ab,1970-01-01,0,Travel,918.35,ESP,CHN,0,0,0,1,0
sdv-id-swutaC,0e5bf328-2b7a-423e-a71d-c051b1c80969,1970-01-01,1,Travel,48.46,ESP,IND,0,1,1,1,0
sdv-id-hSWnhA,0118d2a5-43ef-4542-a512-6fe3410f71df,1970-01-01,0,Tech,799.05,ESP,BRA,1,0,1,1,1
sdv-id-BvWlOU,9a9eb406-d591-41ce-b18f-2155865b0427,1970-01-01,4,Travel,1485.42,ESP,DEU,0,0,1,1,0
sdv-id-baVHHB,2099d180-8762-4997-a49f-7d888989c5ab,1970-01-01,0,Gaming,1157.19,ESP,PRT,0,1,0,1,0
sdv-id-qWuNiC,7590a2f6-b095-4247-af51-f151687862c4,1970-01-01,0,Retail,433.3,ESP,JPN,1,0,0,1,1
sdv-id-wLmJUV,fc2bedfc-23ec-4390-9514-b88acf8eeaf3,1970-01-01,0,Food,2425.7,ESP,FRA,0,1,0,0,1
sdv-id-sTaNan,e6453b43-d07e-42a1-8906-a4e2460cec89,1970-01-01,0,Travel,845.82,ESP,DEU,0,0,1,0,1
sdv-id-HQMZDj,38b042da-c52a-4570-9ab8-4c1b85243095,1970-01-01,0,Gaming,2338.49,ESP,NGA,1,0,0,0,1
sdv-id-BhxcVg,d98d214f-c2ab-4876-b71b-d82d635589f4,1970-01-01,0,Travel,1251.37,ESP,CHN,0,0,1,0,1
sdv-id-WKQfTY,14bac9b7-ba9f-45d6-972a-30629e666d60,1970-01-01,5,Retail,437.43,ESP,NGA,1,1,0,0,1
sdv-id-khWduW,0e213ce5-668e-410e-8d86-2412ae8cc97b,1970-01-01,0,Tech,1464.54,ESP,PRT,1,1,0,1,0
sdv-id-pJLEwH,4ffca6b1-99b4-49d4-89a2-14aef7e8f8e5,1970-01-01,0,Gaming,1561.89,ESP,ESP,0,1,0,1,0
sdv-id-SVGALi,1027fbf7-3877-40f0-9d99-d4c5cc96bf43,1970-01-01,0,Gaming,1033.18,ESP,USA,1,0,0,1,1
sdv-id-ThPEtX,894a05e4-30b1-47ef-b10c-0c003fa7f104,1970-01-01,5,Travel,2326.87,ESP,VNM,1,1,0,1,1
sdv-id-xgRswO,4eef48d8-b090-4f13-a432-9c84c3cd8b60,1970-01-01,0,Travel,1963.0,ESP,BGD,0,1,0,1,0
sdv-id-AiHqzx,242bba10-c7d0-40d1-8b5f-df7039185b72,1970-01-01,1,Tech,2169.3,ESP,IND,1,1,0,0,0
sdv-id-Qwqbhh,6c944bca-e8c0-4c02-b200-fc98b963c2fc,1970-01-01,1,Gaming,251.03,ESP,ITA,1,1,1,1,0
sdv-id-OtbuVd,ffb1c192-15e5-4e78-863e-9bb3f37296a2,1970-01-01,0,Travel,1673.68,ESP,ESP,0,0,0,0,1
sdv-id-YqjWVF,8ffe38c9-d2d8-4eb3-9a14-0609f287b989,1970-01-01,4,Retail,650.9,ESP,BRA,0,1,0,0,1
sdv-id-uoxiPs,14c62aba-89c2-4ba5-a48d-f4c0c330ec14,1970-01-01,0,Retail,507.27,ESP,ESP,1,1,0,1,0
sdv-id-DVdXbM,fbc1085b-216b-4833-bbf2-82a9be09f835,1970-01-01,2,Food,2246.29,ESP,PRT,1,0,1,0,1
sdv-id-TAxosY,f8ef0017-bf89-444e-9097-ce4674b0b243,1970-01-01,1,Retail,1592.1,ESP,JPN,0,0,0,1,0
sdv-id-Ymoyxh,3d9ffe59-9bc0-4a93-92cd-adefb9d276f4,1970-01-01,3,Tech,2067.43,ESP,ESP,1,1,0,0,1
sdv-id-GzgLNE,90208d23-86ff-46f2-a970-1e00520fc3e7,1970-01-01,0,Travel,1061.51,ESP,IND,1,1,0,1,0
sdv-id-cFgdmP,05e6d708-0874-488e-94a3-e5aedb9f658f,1970-01-01,0,Retail,858.88,ESP,ESP,0,1,1,0,0
sdv-id-jypzvR,07ba9437-f24f-4dc4-8094-7fb553850d92,1970-01-01,0,Tech,1682.19,ESP,VNM,1,1,1,1,1
sdv-id-TGoXHT,0abdbcd1-782c-4fec-9e5d-78a1c5bdb495,1970-01-01,0,Food,1703.52,ESP,USA,1,0,1,1,1
sdv-id-aSojOX,75f321cb-c59d-44aa-b5ed-7ce82ddf2675,1970-01-01,0,Food,926.62,ESP,JPN,0,1,1,0,1
sdv-id-eXljTr,53effcdf-ea7e-49ac-ae37-2e39af396095,1970-01-01,0,Food,861.9,ESP,ESP,1,0,1,0,1
sdv-id-MUtGkt,c4d598f7-e14f-4093-8b6a-d0c7a2356dd4,1970-01-01,1,Food,1018.69,ESP,NGA,1,1,1,0,0
sdv-id-XIYyrK,6c521d13-b719-4b68-a775-ee42a89e22f2,1970-01-01,0,Food,2424.83,ESP,ITA,1,0,1,0,1
sdv-id-DKmXYM,e6766b0a-3b9a-4daf-a321-d75368dd66fd,1970-01-01,1,Retail,1569.4,ESP,ESP,0,0,0,0,1
sdv-id-jDnwAn,5a7284a2-25ba-4795-a2a8-76d76d58bf63,1970-01-01,0,Tech,599.08,ESP,NGA,0,0,0,0,1
sdv-id-vdVSYs,225b74ad-f519-4b52-b718-31f3d527189b,1970-01-01,0,Retail,2384.47,ESP,BGD,1,1,0,0,1
sdv-id-iMdVwq,7a52cd11-cb32-42ab-b5e9-fa216fef2a24,1970-01-01,0,Retail,199.35,ESP,ESP,1,0,1,0,0
sdv-id-pZysrE,c3edfa0e-9d62-4006-898a-52e0c50e6599,1970-01-01,0,Food,2485.68,ESP,DEU,1,1,1,0,0
sdv-id-qOnPoi,b1f02ea8-242f-4829-be07-832abadc4599,1970-01-01,1,Travel,607.89,ESP,VNM,0,0,1,1,0
sdv-id-daJdhc,7f2487bc-8c10-4bc1-b36b-8385522fb6b0,1970-01-01,0,Food,414.65,ESP,NGA,1,1,0,1,1
sdv-id-DHwiHS,c5ba136f-594e-461a-9d15-c12994256e90,1970-01-01,0,Retail,334.26,ESP,FRA,0,0,0,1,1
sdv-id-yeutic,f2f4f240-f69e-463d-b9ef-20ea120e5c83,1970-01-01,0,Tech,1824.4,ESP,NGA,1,0,0,1,1
sdv-id-METOOI,a9b29770-2aaa-4394-9adc-8fe3cad67b77,1970-01-01,1,Gaming,1568.75,ESP,RUS,0,1,1,0,1
sdv-id-LvQScy,64ac70a3-e84c-4940-b83f-136dd7684211,1970-01-01,1,Food,174.06,ESP,JPN,0,1,1,1,0
sdv-id-xwQsAL,0977c513-752a-4d25-b190-1b7ec6b469ef,1970-01-01,2,Travel,1553.3,ESP,VNM,0,0,0,0,1
sdv-id-OiPwQy,4ceed038-37bc-479a-921a-81d89063cfb7,1970-01-01,0,Retail,1612.88,ESP,JPN,1,0,0,0,1
sdv-id-ouDkwv,41dbc918-9729-4a48-b9b1-2bdf38f14931,1970-01-01,0,Retail,360.91,ESP,VNM,1,0,0,1,0
sdv-id-YoNGFS,b69f75c5-c82b-41be-a1eb-64e6fd498e20,1970-01-01,5,Tech,1333.89,ESP,BRA,1,1,0,0,1
sdv-id-HFzLgZ,a48687d4-cb29-4e19-9694-a5279720b88f,1970-01-01,0,Retail,2228.09,ESP,ESP,0,1,1,1,0
sdv-id-wcfdRI,889fe107-443b-4d0f-bdbc-3093a8284442,1970-01-01,1,Tech,1851.16,ESP,ARE,0,1,0,0,1
sdv-id-RWzgus,5892e71a-ab87-4ea4-854f-87ad7750bfbb,1970-01-01,5,Tech,1916.63,ESP,FRA,0,0,0,1,0
sdv-id-htszcr,ce92b021-8173-4a2a-83b5-b2bd1eec4d0d,1970-01-01,0,Gaming,204.76,ESP,CHN,1,0,0,0,1
sdv-id-SQXGtC,bd37414a-4784-459f-a86e-dac1f82e98dc,1970-01-01,4,Food,928.18,ESP,ESP,0,1,0,0,1
